id_STY;name_STY
1;Classic English-Style Pale Ale
2;English-Style India Pale Ale
3;Ordinary Bitter
4;Special Bitter or Best Bitter
5;Extra Special Bitter
6;English-Style Summer Ale
7;Scottish-Style Light Ale
8;Scottish-Style Heavy Ale
9;Scottish-Style Export Ale
10;English-Style Pale Mild Ale
11;English-Style Dark Mild Ale
12;English-Style Brown Ale
13;Old Ale
14;Strong Ale
15;Scotch Ale
16;British-Style Imperial Stout
17;British-Style Barley Wine Ale
18;Robust Porter
19;Brown Porter
20;Sweet Stout
21;Oatmeal Stout
22;Irish-Style Red Ale
23;Classic Irish-Style Dry Stout
24;Foreign (Export)-Style Stout
25;Porter
26;American-Style Pale Ale
27;Fresh Hop Ale
28;Pale American-Belgo-Style Ale
29;Dark American-Belgo-Style Ale
30;American-Style Strong Pale Ale
31;American-Style India Pale Ale
32;Imperial or Double India Pale Ale
33;American-Style Amber/Red Ale
34;Imperial or Double Red Ale
35;American-Style Barley Wine Ale
36;American-Style Wheat Wine Ale
37;Golden or Blonde Ale
38;American-Style Brown Ale
39;Smoke Porter
40;American-Style Sour Ale
41;American-Style India Black Ale
42;American-Style Stout
43;American-Style Imperial Stout
44;Specialty Stouts
45;American-Style Imperial Porter
46;Porter
47;German-Style Kolsch
48;Berliner-Style Weisse
49;Leipzig-Style Gose
50;South German-Style Hefeweizen
51;South German-Style Kristal Weizen
52;German-Style Leichtes Weizen
53;South German-Style Bernsteinfarbenes Weizen
54;South German-Style Dunkel Weizen
55;South German-Style Weizenbock
56;Bamberg-Style Weiss Rauchbier
57;German-Style Brown Ale/Altbier
58;Kellerbier - Ale
59;Belgian-Style Flanders/Oud Bruin
60;Belgian-Style Dubbel
61;Belgian-Style Tripel
62;Belgian-Style Quadrupel
63;Belgian-Style Blonde Ale
64;Belgian-Style Pale Ale
65;Belgian-Style Pale Strong Ale
66;Belgian-Style Dark Strong Ale
67;Belgian-Style White
68;Belgian-Style Lambic
69;Belgian-Style Gueuze Lambic
70;Belgian-Style Fruit Lambic
71;Belgian-Style Table Beer
72;Other Belgian-Style Ales
73;French-Style Biere de Garde
74;French & Belgian-Style Saison
75;International-Style Pale Ale
76;Australasian-Style Pale Ale
77;German-Style Pilsener
78;Bohemian-Style Pilsener
79;European Low-Alcohol Lager
80;Munchner-Style Helles
81;Dortmunder/European-Style Export
82;Vienna-Style Lager
83;German-Style Marzen
84;German-Style Oktoberfest
85;European-Style Dark
86;German-Style Schwarzbier
87;Bamberg-Style Marzen
88;Bamberg-Style Helles Rauchbier
89;Bamberg-Style Bock Rauchbier
90;Traditional German-Style Bock
91;German-Style Heller Bock/Maibock
92;German-Style Doppelbock
93;German-Style Eisbock
94;Kellerbier - Lager
95;American-Style Lager
96;American-Style Light Lager
97;American-Style Low-Carb Light Lager
98;American-Style Amber Lager
99;American-Style Premium Lager
100;American-Style Pilsener
101;American-Style Ice Lager
102;American-Style Malt Liquor
103;American-Style Amber Lager
104;American-Style Marzen/Oktoberfest
105;American-Style Dark Lager
106;Baltic-Style Porter
107;Australasian-Style Light Lager
108;Latin American-Style Light Lager
109;Tropical-Style Light Lager
110;International-Style Pilsener
111;Dry Lager
112;Session Beer
113;American-Style Cream Ale or Lager
114;California Common Beer
115;Japanese Sake-Yeast Beer
116;Light American Wheat Ale or Lager
117;Fruit Wheat Ale or Lager
118;Dark American Wheat Ale or Lager
119;American Rye Ale or Lager
120;German-Style Rye Ale
121;Fruit Beer
122;Field Beer
123;Pumpkin Beer
124;Chocolate/Cocoa-Flavored Beer
125;Coffee-Flavored Beer
126;Herb and Spice Beer
127;Specialty Beer
128;Specialty Honey Lager or Ale
129;Gluten-Free Beer
130;Smoke Beer
131;Experimental Beer
132;Out of Category
133;Wood- and Barrel-Aged Beer
134;Wood- and Barrel-Aged Pale to Amber Beer
135;Wood- and Barrel-Aged Dark Beer
136;Wood- and Barrel-Aged Strong Beer
137;Wood- and Barrel-Aged Sour Beer
138;Aged Beer
139;Other Strong Ale or Lager
140;Non-Alcoholic Beer
141;Winter Warmer
